ECG,IMP,Z0
-71.71495,10510.66500,44.52800
-74.46148,15867.34000,44.52800
-79.64937,18618.06500,44.52800
-83.92175,21889.98000,44.52800
-83.92175,25740.99500,44.52800
-80.25971,29678.87500,44.52800
-74.76665,37844.18500,44.52800
-72.93563,44851.29500,44.52800
-71.40978,55912.10500,44.52800
-77.20801,67696.79000,44.52800
-86.05794,77599.40000,44.52800
-82.70107,90513.33000,44.52800
-76.29250,101718.91500,44.52800
-75.07182,111129.29000,44.52800
-72.63046,122219.05500,44.52800
-73.85114,134206.42500,44.52800
-65.61155,143703.66500,44.52800
-57.98230,150913.46000,44.52800
-59.50815,160816.07000,44.52800
-57.37196,169821.07500,44.52800
-47.60652,176799.23000,44.52800
-41.19795,181866.35500,44.52800
-37.23074,190350.17000,44.52800
-25.32911,194693.42000,44.51200
-15.86884,199152.49000,44.51200
-10.68095,204306.48000,44.51200
-12.20680,209373.60500,44.51200
-6.10340,216583.40000,44.51200
-4.27238,220579.19000,44.51200
-11.29129,224632.89000,44.51200
-20.44639,227151.97500,44.51200
-27.77047,230800.30500,44.51200
-31.43251,232421.78500,44.51200
-30.51700,233406.25500,44.51200
-33.56870,235462.06000,44.51200
-33.26353,234998.78000,44.51200
-31.12734,237315.18000,44.51200
-36.31523,235954.29500,44.51200
-45.16516,235809.52000,44.51200
-44.85999,233493.12000,44.51200
-41.19795,231176.72000,44.51200
-41.80829,227673.16500,44.51200
-46.08067,222374.40000,44.51200
-45.16516,217452.05000,44.51200
-43.02897,210184.34500,44.51200
-43.33414,204624.98500,44.51200
-45.16516,197154.59500,44.51200
-51.57373,189568.38500,44.51200
-45.77550,182155.90500,44.51200
-38.14625,176046.40000,44.51200
-38.45142,171384.64500,44.51200
-43.33414,168489.14500,44.51200
-45.77550,164145.89500,44.51200
-47.30135,158383.85000,44.51200
-50.65822,154272.24000,44.51200
-53.09958,153027.17500,44.51200
-50.04788,147989.00500,44.51200
-48.52203,144514.40500,44.51200
-56.76162,141705.77000,44.51200
-69.57876,141445.17500,44.51200
-62.55985,138346.99000,44.51200
-35.39972,134872.39000,44.51200
2.74653,134090.60500,44.51200
63.78053,130818.69000,44.51200
163.87629,130934.51000,44.51200
261.53069,129486.76000,44.51200
335.07666,128820.79500,44.51200
336.29734,128386.47000,44.51200
194.39329,127083.49500,44.51200
38.14625,123724.71500,44.51200
-86.05794,122479.65000,44.51200
-135.19031,117788.94000,44.51200
-134.57997,116283.28000,44.51200
-120.23698,114227.47500,44.51200
-110.16637,110492.28000,44.51200
-92.46651,108465.43000,44.51200
-83.92175,105077.69500,44.51200
-75.07182,100271.16500,44.51200
-68.05291,98591.77500,44.51200
-61.64434,94827.62500,44.51200
-62.86502,91121.38500,44.51200
-73.54597,88139.02000,44.51200
-74.15631,87241.41500,44.51200
-69.27359,82463.84000,44.51200
-64.39087,79973.71000,44.51200
-66.83223,77338.80500,44.51200
-72.02012,74819.72000,44.51200
-84.53209,73516.74500,44.32400
-83.31141,72763.91500,44.32400
-69.57876,73922.11500,44.32400
-67.74774,75746.28000,44.32400
-73.85114,76006.87500,44.32400
-73.24080,74472.26000,44.32400
-74.15631,73690.47500,44.32400
-75.07182,71518.85000,44.32400
-77.20801,70534.38000,44.32400
-68.35808,70042.14500,44.32400
-74.15631,70042.14500,44.32400
-75.37699,71431.98500,44.32400
-68.66325,71489.89500,44.32400
-66.22189,73429.88000,44.32400
-63.17019,76904.48000,44.32400
-67.74774,81508.32500,44.32400
-65.00121,84085.32000,44.32400
-65.30638,87820.51500,44.32400
-56.76162,92047.94500,44.32400
-62.86502,96767.61000,44.32400
-68.05291,102442.79000,44.32400
-62.86502,107741.55500,44.32400
-53.40475,112519.13000,44.32400
-51.26856,116833.42500,44.32400
-49.43754,121292.49500,44.32400
-51.57373,125693.65500,44.32400
-42.11346,129197.21000,44.32400
-35.70489,132382.26000,44.32400
-38.14625,133945.83000,44.32400
-27.77047,135596.26500,44.32400
-22.27741,136378.05000,44.32400
-27.46530,136435.96000,44.32400
-28.99115,137044.01500,44.32400
-31.43251,136059.54500,44.32400
-30.82217,135104.03000,44.32400
-32.34802,134814.48000,44.32400
-38.75659,132150.62000,44.32400
-44.55482,129399.89500,44.32400
-39.67210,126301.71000,44.32400
-44.24965,122827.11000,44.32400
-53.70992,118773.41000,44.32400
-52.79441,114632.84500,44.32400
-51.26856,110144.82000,44.32400
-59.81332,104788.14500,44.32400
-57.98230,101168.77000,44.32400
-53.09958,97607.30500,44.32400
-47.60652,94856.58000,44.32400
-48.82720,92395.40500,44.32400
-57.98230,89760.50000,44.32400
-65.30638,86720.22500,44.32400
-66.22189,82319.06500,44.32400
-67.44257,78323.27500,44.32400
-61.33917,72706.00500,44.32400
-57.98230,67812.61000,44.32400
-55.84611,62253.25000,44.32400
-60.42366,56925.53000,44.32400
-61.33917,52205.86500,44.32400
-65.30638,47544.11000,44.32400
-57.98230,44011.60000,44.32400
-59.20298,40247.45000,44.32400
-69.57876,36483.30000,44.32400
-57.67713,33732.57500,44.32400
-54.01509,31300.35500,44.32400
-58.89781,28723.36000,44.32400
-54.93060,26841.28500,44.33600
-49.43754,24235.33500,44.33600
-62.55985,22324.30500,44.33600
-62.86502,19747.31000,44.33600
-67.13740,16707.03500,44.33600
-73.85114,13608.85000,44.33600
-77.51318,9265.60000,44.33600
-72.02012,5067.12500,44.33600
-78.12352,-144.77500,44.33600
-79.95454,-5327.72000,44.33600
-68.05291,-10018.43000,44.33600
-62.86502,-14882.87000,44.33600
-65.30638,-21079.24000,44.33600
-65.91672,-26928.15000,44.33600
-62.55985,-32863.92500,44.33600
-61.94951,-37757.32000,44.33600
-58.89781,-44706.52000,44.33600
-54.32026,-50121.10500,44.33600
-46.69101,-56317.47500,44.33600
-44.55482,-62890.26000,44.33600
-52.48924,-69231.40500,44.33600
-50.35305,-74993.45000,44.33600
-41.19795,-82319.06500,44.33600
-42.11346,-89239.31000,44.33600
-45.16516,-96680.74500,44.33600
-40.89278,-104672.32500,44.33600
-39.97727,-112055.85000,44.33600
-37.53591,-120308.02500,44.33600
-37.84108,-127691.55000,44.33600
-32.65319,-134814.48000,44.33600
-38.14625,-143443.07000,44.33600
-43.94448,-150710.77500,44.33600
-45.47033,-157949.52500,44.33600
-49.74271,-165680.51000,44.33600
-44.24965,-172311.20500,44.33600
-45.47033,-179926.37000,44.33600
-47.60652,-187570.49000,44.33600
-41.50312,-195272.52000,44.33600
-43.02897,-202279.63000,44.33600
-50.35305,-210300.16500,44.33600
-46.99618,-217770.55500,44.33600
-45.77550,-225269.90000,44.33600
-54.01509,-233406.25500,44.33600
-53.70992,-241224.10500,44.33600
-40.89278,-249302.55000,44.33600
-36.01006,-257265.17500,44.33600
-43.94448,-264619.74500,44.33600
-41.19795,-272032.22500,44.33600
-35.09455,-279242.02000,44.33600
-32.95836,-285380.48000,44.33600
-27.16013,-291287.30000,44.33600
-25.63428,-296672.93000,44.33600
-23.19292,-302058.56000,44.33600
-27.46530,-305533.16000,44.33600
-25.63428,-309210.44500,44.33600
-26.24462,-312019.08000,44.33600
-32.34802,-315233.08500,44.33600
-25.32911,-317810.08000,44.33600
-26.24462,-317346.80000,44.33600
-27.46530,-316854.56500,44.33600
-27.46530,-315522.63500,44.33600
-27.46530,-312453.40500,44.33600
-33.87387,-309152.53500,44.33600
-37.23074,-304519.73500,44.33600
-38.14625,-300726.63000,44.45200
-20.44639,-294935.63000,44.45200
6.10340,-288449.71000,44.45200
56.15128,-282571.84500,44.45200
148.92296,-275564.73500,44.45200
248.40838,-267717.93000,44.45200
318.59748,-261174.10000,44.45200
361.01611,-254775.04500,44.45200
332.33013,-249041.95500,44.45200
214.22934,-244293.33500,44.45200
68.05291,-241832.16000,44.45200
-55.23577,-239660.53500,44.45200
-111.99739,-237981.14500,44.45200
-117.49045,-236243.84500,44.45200
-119.93181,-234361.77000,44.45200
-105.89399,-233319.39000,44.45200
-98.87508,-231582.09000,44.45200
-90.94066,-229902.70000,44.45200
-75.37699,-228860.32000,44.45200
-65.91672,-228397.04000,44.45200
-54.93060,-226862.42500,44.45200
-52.18407,-226978.24500,44.45200
-46.08067,-227499.43500,44.45200
-46.08067,-227065.11000,44.45200
-55.23577,-227383.61500,44.45200
-45.16516,-227644.21000,44.45200
-43.33414,-225617.36000,44.45200
-51.87890,-224459.16000,44.45200
-54.32026,-222403.35500,44.45200
-56.15128,-219536.81000,44.45200
-56.15128,-214701.32500,44.45200
-62.55985,-209865.84000,44.45200
-62.25468,-203553.65000,44.45200
-62.55985,-196662.36000,44.45200
-70.49427,-188178.54500,44.45200
-70.49427,-177609.97000,44.45200
-67.74774,-165072.45500,44.45200
-63.47536,-151289.87500,44.45200
-62.86502,-136580.73500,44.45200
-60.42366,-121437.27000,44.45200
-60.72883,-106757.08500,44.45200
